ISO,Question,Answer,Citation,Pincite ,Comment,,
AU,6(a) Do any physical effects constitute a violation?,Yes,"16. The African Union affirms that by virtue of territorial sovereignty, any unauthorized access by a State into the ICT infrastructure located on the territory of a foreign State is unlawful. Therefore, the African Union emphasizes that the obligation to respect the territorial sovereignty of States, as it applies in cyberspace, does not include a de minimis threshold of harmful effects below which an unauthorized access by a State into the ICT infrastructure located on the territory of a foreign State would not be unlawful. . . ¶¶The African Union further affirms that cyber operations that are attributable to a State against ICT infrastructure located on the territory of a foreign State that causes effects, such as loss or impairment of functionality, on the territory of a third State, may constitute a breach of the territorial sovereignty of that latter State","Common African Position on the Application of International Law to the Use of Information and Communication Technologies in Cyberspace, pg. 2 § II, ¶ 16 (2024)",,,
AU,"6(b) Must the effects involve physical damage to computer infrastructure or other tangible things, or injury to persons, to constitute a violation of sovereignty as a rule?",No,"16. ... The African Union further affirms that cyber operations that are attributable to a State against ICT infrastructure located on the territory of a foreign State that causes effects, such as loss or impairment of functionality, on the territory of a third State, may constitute a breach of the territorial sovereignty of that latter State","Common African Position on the Application of International Law to the Use of Information and Communication Technologies in Cyberspace, pg. 2 § II, ¶ 16 (2024) ",,,
AU,6(b)(i) Must the effect of a cyber operation to computer infrastructure require repair or replacement of physical components to qualify as damage?,Silent,,,The statement does not speak on whether to qualify effects as damage ,,
AU,6(c) Do only cyber operations generating significant physical effects within another State’s territory constitute a violation?,No,"Therefore, the African Union emphasizes that the obligation to respect the territorial sovereignty of States, as it applies in cyberspace, does not include a de minimis threshold of harmful effects below which an unauthorized access by a State into the ICT infrastructure located on the territory of a foreign State would not be unlawful. The African Union further affirms that cyber operations that are attributable to a State against ICT infrastructure located on the territory of a foreign State that causes effects, such as loss or impairment of functionality, on the territory of a third State, may constitute a breach of the territorial sovereignty of that latter State.","Common African Position on the Application of International Law to the Use of Information and Communication Technologies in Cyberspace, pg. 2 § II, ¶ 16 (2024) ",,,
AU,7. Can state cyber operations that cause a loss to computer functionality in another State’s territory constitute a violation of sovereignty as a rule?,Yes,"16. ...The African Union further affirms that cyber operations that are attributable to a State against ICT infrastructure located on the territory of a foreign State that causes effects, such as loss or impairment of functionality, on the territory of a third State, may constitute a breach of the territorial sovereignty of that latter State.","Common African Position on the Application of International Law to the Use of Information and Communication Technologies in Cyberspace, pg. 2 § II, ¶ 16 (2024) ",,,
AU,7(a) Is the rule violated by a cyber operation generating any functionality losses within another state’s territory?,Ambiguous,"16. ...The African Union further affirms that cyber operations that are attributable to a State against ICT infrastructure located on the territory of a foreign State that causes effects, such as loss or impairment of functionality, on the territory of a third State, may constitute a breach of the territorial sovereignty of that latter State.","Common African Position on the Application of International Law to the Use of Information and Communication Technologies in Cyberspace, pg. 2 § II, ¶ 16 (2024) ","Although the statement discusses “any” unauthorized access as a violation without a de minimis threshold, it also indicates that losses of functionality “may” (rather than “will”) violate the rule; hence it is ambiguous on this question.",,
AU,7(b) Is the rule violated by a cyber operation generating significant functionality losses within another state’s territory?,Ambiguous,"Therefore, the African Union emphasizes that the obligation to respect the territorial sovereignty of States, as it applies in cyberspace, does not include a de minimis threshold of harmful effects below which an unauthorized access by a State into the ICT infrastructure located on the territory of a foreign State would not be unlawful. The African Union further affirms that cyber operations that are attributable to a State against ICT infrastructure located on the territory of a foreign State that causes effects, such as loss or impairment of functionality, on the territory of a third State, may constitute a breach of the territorial sovereignty of that latter State.","Common African Position on the Application of International Law to the Use of Information and Communication Technologies in Cyberspace, pg. 2 § II, ¶ 16 (2024) ",See previous comment¶,,
AU,7(c) Is the rule violated by a cyber operation generating systemic functionality losses within another state’s territory?,Ambiguous,"Therefore, the African Union emphasizes that the obligation to respect the territorial sovereignty of States, as it applies in cyberspace, does not include a de minimis threshold of harmful effects below which an unauthorized access by a State into the ICT infrastructure located on the territory of a foreign State would not be unlawful. The African Union further affirms that cyber operations that are attributable to a State against ICT infrastructure located on the territory of a foreign State that causes effects, such as loss or impairment of functionality, on the territory of a third State, may constitute a breach of the territorial sovereignty of that latter State.","Common African Position on the Application of International Law to the Use of Information and Communication Technologies in Cyberspace, pg. 2 § II, ¶ 16 (2024) ",See previous comment¶,,
AU,8. Can state cyber operations that interfere with another state’s “inherent governmental functions” constitute a violation of sovereignty as a rule?,Silent,,,,,
AU,9. Must there be proximate causation between the state cyber operation and the effects or interference prohibited by sovereignty as a rule?  ,Ambiguous,"The African Union further affirms that cyber operations that are attributable to a State against ICT infrastructure located on the territory of a foreign State that causes effects, such as loss or impairment of functionality, on the territory of a third State, may constitute a breach of the territorial sovereignty of that latter State.","Common African Position on the Application of International Law to the Use of Information and Communication Technologies in Cyberspace, pg. 2 § II, ¶ 16 (2024) ¶","Although the legal language of proximate causation is not used, the position paper recognizes effects caused by a state cyber operation as a potential breach of territorial sovereignty.",,
AU,9(a) Must the state cyber operation generate prohibited effects directly?,Silent,,,,,
AU,9(b) Do prohibited effects indirectly generated by a state cyber operation constitute a violation of sovereignty as a rule?,Silent¶,,,,,
AU,10. Can state cyber operations that deny access to or degrade data in the control of another State constitute a violation of sovereignty as a rule?,Yes,"... certain activities undertaken by States, such as the transnational interception of communications, indiscriminate surveillance and data misuse, may constitute a violation of the right to privacy of individuals who are subjected to such conduct, in addition to potentially violating the territorial sovereignty of States on the territory of which such interception occurs.","Common African Position on the Application of International Law to the Use of Information and Communication Technologies in Cyberspace, pg. 9 §VIII, ¶ 55 (2024) ","If state cyber operations entail data misuse that denies access to or degrades data in control of another state, then they may constitute a violation of sovereignty. ",,
AU,10(a) Do state sponsored ransomware operations violate the sovereignty of another State?,Silent,,https://tuprd-my.sharepoint.com/:b:/g/personal/tup46628_temple_edu/ETwMPww1ZUFJgXVs0fxOMpQBRD9fVdBSgjaaurAz57yp0A?email=pekham.basu@temple.edu&e=Ghw6mP,,,
AU,10(b) Can state cyber operations against data residing in cloud servers outside of a State’s territorial jurisdiction constitute a violation of sovereignty that state’s sovereignty?¶¶,Silent,,https://tuprd-my.sharepoint.com/:b:/g/personal/tup46628_temple_edu/ETwMPww1ZUFJgXVs0fxOMpQBRD9fVdBSgjaaurAz57yp0A?email=pekham.basu@temple.edu&e=Ghw6mP,,,
AU,10(c) Does the exercise of one State’s law enforcement tools via cyber means in the networks or systems of another State’s territory violate the sovereignty of the latter State?,Yes,"15. The African Union affirms that international law, as it applies to the use of ICTs in cyberspace, does not permit a State to exercise enforcement authority on the territory of a foreign State in response to unlawful cyber activities that emanate from the territory of that foreign State. This applies even if the exercise of such enforcement authority by a State does not have harmful effects, whether virtual or physical, on the territory of a foreign State.¶ ","Common African Position on the Application of International Law to the Use of Information and Communication Technologies in Cyberspace, pg. 3 § II, ¶ 17 (2024) ¶","The position paper takes a stand against the use of law enforcement tools via cyber means on the territory of another state even in response to unlawful cyber activities. Although the rule of territorial sovereignty is directly mentioned as being at risk by provisions that allow the exercise of law enforcement tools in the systems of another state, it is not clear whether such activity is a violation.¶",,
AU,11. Do State cyber operations that interfere at any level with critical infrastructure in another State constitute a violation of sovereignty as a rule?¶,Ambiguous,"The African Union affirms that by virtue of territorial sovereignty, any unauthorized access by a State into the ICT infrastructure located on the territory of a foreign State is unlawful. Therefore, the African Union emphasizes that the obligation to respect the territorial sovereignty of States, as it applies in cyberspace, does not include a de minimis threshold of harmful effects below which an unauthorized access by a State into the ICT infrastructure located on the territory of a foreign State would not be unlawful. The African Union further affirms that cyber operations that are attributable to a State against ICT infrastructure located on the territory of a foreign State that causes effects, such as loss or impairment of functionality, on the territory of a third State, may constitute a breach of the territorial sovereignty of that latter State.","Common African Position on the Application of International Law to the Use of Information and Communication Technologies in Cyberspace, pg. 3 § II, ¶ 16 (2024) ","The question isn’t just about unauthorized access but any interference; and since there are ways to interfere without access (e.g., DDoS), we think it’s ambiguous; also the reference to ICT infrastructure is not “critical”? This is ambiguous because although the national position mentions “any unauthorized access” in para 16, it does not specifically use the language of ‘interference.’",,
AU,12. Can State cyber operations that cause significant national economic impacts for another State constitute a violation of sovereignty as a rule?,Silent,,,,,
AU,13. Does cyber espionage by one State in or transiting networks or hardware resident in another State constitute a violation of sovereignty as a rule?,Ambiguous,"The African Union is of the view that responsible behavior in relation to the use of ICTs in cyberspace requires States to ensure that their conduct does not infringe on the human rights of individuals or peoples in other States. In particular, certain activities undertaken by States, such as the transnational interception of communications, indiscriminate surveillance and data misuse, may constitute a violation of the right to privacy of individuals who are subjected to such conduct, in addition to potentially violating the territorial sovereignty of States on the territory of which such interception occurs.¶","Common African Position on the Application of International Law to the Use of Information and Communication Technologies in Cyberspace, pg. 9 §VIII, ¶ 55 (2024) ","Espionage is discussed in the section on human rights (by reference to interception and surveillance, etc.) but makes reference to such activities “potentially” violating sovereignty.",,
AU,13(a) Can gaining unauthorized access to computer systems or data within a State’s sovereign control violate the rules of sovereignty?,Yes,"14 … The jurisdiction of States also applies extraterritorially to ICTs located onaircraft and ships flying the State's flag and satellites and other spacecraft in outer space registered by the State…¶¶16. The African Union affirms that by virtue of territorial sovereignty, any unauthorized access by a State into the ICT infrastructure located on the territory of a foreign State is unlawful.¶","Common African Position on the Application of International Law to the Use of Information and Communication Technologies in Cyberspace, pg. 3 § II, ¶ 16 (2024) ",,,
AU,14. Are violations of sovereignty assessed on a case-by-case basis?,Silent,,,,,
AUS,1. Is sovereignty a foundational principle of the international legal order?,Silent, ,,,,
AUS,2  Does sovereignty confer on states authority over cyber infrastructure located in their respective territories and over the actions they take with respect to that infrastructure? ,Yes.,"To the extent that a State enjoys the right to exercise sovereignty over objects and activities within its territory, it necessarily shoulders corresponding responsibilities to ensure those objects and activities are not used to harm other States. ","Australia, UNGA Official Compendium of Voluntary National Contributions, pg. 7, §3, ¶¶1-2 (2021).","Australia’s position on the application of international law to cyberspace, as reiterated in the official compendium, recognizes but does not positively define the extent of sovereign authority over ICT infrastructure. The scope of authority and associated obligations is vague.¶",,
AUS,"2(a) Does sovereignty encompass the right of a state to protect cyber infrastructure and safeguard cyber activity that is located in, or takes place on, its territory?",Yes,"To the extent that a State enjoys the right to exercise sovereignty over objects and activities within its territory, it necessarily shoulders corresponding responsibilities to ensure those objects and activities are not used to harm other States.  ","Australia, UNGA Official Compendium of Voluntary National Contributions, pg. 7, §3, ¶ 2 (2021).",,,
AUS,2(b) Is the exercise of such sovereign authority subject to international human rights law and other fundamental freedoms?,Yes,"International human rights law (IHRL) also applies to the use of cyberspace. States have obligations to protect relevant human rights of individuals under their jurisdiction, including the right to privacy, where those rights are exercised or realised through or in cyberspace. Subject to lawful derogations and limitations, states must ensure without distinction individuals’ rights to privacy, freedom of expression and freedom of association online",UNGA Addendum [complete and double check pinpoint cite],,,
AUS,"3. Is sovereignty a stand-alone, primary rule of international law, the breach of which can incur international responsibility?",Silent,,,,,
AUS,3(a) Can violations of sovereignty not amounting to prohibited interventions constitute internationally wrongful acts?  ,Silent,,,,,
AUS,4. Does the State indicate how to identify a violation of any stand-alone sovereignty rule?,Silent,,,,,
AUS,4(a) Is there a de minimis threshold below which a violation of sovereignty would not occur?,Silent,,,,,
AUS,"5. Is it a violation of territorial sovereignty for an organ of a State, or others whose conduct is attributable to the State, to conduct non-consensual cyber operations while physically present on another State’s territory against that State or entities or persons on its territory?",Silent,,,,,
AUS,6. Can state cyber operations that cause physical effects in another state’s territory constitute a violation of sovereignty as a rule?,Silent,,,,,
AUS,6(a) Do any physical effects constitute a violation?,Silent,,,,,
AUS,"6(b) Must the effects involve physical damage to computer infrastructure or other tangible things, or injury to persons, to constitute a violation of sovereignty as a rule?",Silent,,,,,
AUS,6(b)(i) Must the effect of a cyber operation to computer infrastructure require repair or replacement of physical components to qualify as damage?,Silent,,,,,
AUS,6(c) Do only cyber operations generating significant physical effects within another State’s territory constitute a violation?,Silent,,,,,
AUS,7 Can state cyber operations that cause a loss to computer functionality in another State’s territory constitute a violation of sovereignty as a rule?,Silent,,,,,
AUS,7(a) Is the rule violated by a cyber operation generating any functionality losses within another state’s territory?,Silent,,,,,
AUS,7(b) Is the rule violated by a cyber operation generating significant functionality losses within another state’s territory?,Silent,,,,,
AUS,7(c) Is the rule violated by a cyber operation generating systemic functionality losses within another state’s territory?,Silent,,,,,
AUS,8. Can state cyber operations that interfere with another state’s “inherent governmental functions” constitute a violation of sovereignty as a rule?,Silent,,,,,
AUS,9. Must there be proximate causation between the state cyber operation and the effects or interference prohibited by sovereignty as a rule?  ,Silent,,,,,
AUS,9(a) Must the state cyber operation generate prohibited effects directly?,Silent,,,,,
AUS,9(b) Do prohibited effects indirectly generated by a state cyber operation constitute a violation of sovereignty as a rule?,Silent,,,,,
AUS,10. Can state cyber operations that deny access to or degrade data in the control of another State constitute a violation of sovereignty as a rule?,Silent,,,,,
AUS,10(a) Do state sponsored ransomware operations violate the sovereignty of another State?,Silent,,,,,
AUS,10(b) Can state cyber operations against data residing in cloud servers outside of a State’s territorial jurisdiction constitute a violation of sovereignty as a rule?,Silent,,,,,
AUS,10(c) Does the exercise of one State’s law enforcement tools via cyber means in the networks or systems of another State’s territory violate the sovereignty of the latter State?,Silent,,,,,
AUS,11. Do State cyber operations that interfere at any level with critical infrastructure in another State constitute a violation of sovereignty as a rule?¶,Silent,,,,,
AUS,12. Can State cyber operations that cause significant national economic impacts for another State constitute a violation of sovereignty as a rule?,Silent,,,,,
AUS,13. Does cyber espionage by one State in or transiting networks or hardware resident in another State constitute a violation of sovereignty as a rule?,Silent,,,,,
AUS,13(a) Can gaining unauthorized access to computer systems or data within a State’s sovereign control violate the rules of sovereignty?,Silent ,,,,,
AUS,14. Are violations of sovereignty assessed on a case-by-case basis?,Silent,,,,,
AUT,1. Is sovereignty a foundational principle of the international legal order?¶,Yes,Austria takes the position that respect for state sovereignty is a binding rule of customary international law that also applies to cyber activities. ,"Position Paper of the Republic of Austria: Cyber Activities and International Law. pg. 4 § 3, ¶1 (2024) ",The principle can be reasonably inferred from the Statement, ,
AUT,2. Does sovereignty confer on states authority over cyber infrastructure located in their respective territories and over the actions they take with respect to that infrastructure?,Yes ,"States exercise sovereignty over ICT infrastructure on, and persons engaged in cyber activities in, their territory.¶¶",Position Paper of the Republic of Austria: Cyber Activities and International Law. pg. 4 § 3 (2024),,,
AUT,"2(a) Does sovereignty encompass the right of a State to protect cyber infrastructure and safeguard cyber activity that is located in, or takes place on, its territory?",Yes ,"State sovereignty entails specific rights – such as a state’s right to exercise exclusive jurisdiction over ICT infrastructure on, and persons engaged in cyber activities in, their territory … ","Position Paper of the Republic of Austria: Cyber Activities and International Law. pg. 4 § 3, ¶2 (2024)",The principle can be reasonably inferred from the Statement,,
AUT,2(b) Is the exercise of such sovereign authority subject to international human rights law and other fundamental freedoms?,Yes,"A state’s sovereignty must not be used as a pretext for a state to infringe its human rights obligations, including on data protection and privacy, freedom of expression, and freedom of information.","Position Paper of the Republic of Austria: Cyber Activities and International Law. pg. 4 § 3, ¶2 (2024)",,,
AUT,"3. Is sovereignty a stand-alone, primary rule of international law, the breach of which can incur international responsibility?",Yes,"Austria takes the position that respect for state sovereignty is a binding rule of customary international law that also applies to cyber activities. This means that a cyber activity may violate a state’s sovereignty, even if it does not reach the threshold of, inter alia, an unlawful intervention or threat or use of force. The violation of state sovereignty, through cyber activities of a state or attributable to it, entails the international responsibility of the acting state","Position Paper of the Republic of Austria: Cyber Activities and International Law. pg. 4 § 3, ¶1 (2024)",,,
AUT,3(a) Can violations of sovereignty not amounting to prohibited interventions constitute internationally wrongful acts?  ,Yes,"This means that a cyber activity may violate a state’s sovereignty, even if it does not reach the threshold of, inter alia, an unlawful intervention or threat or use of force. The violation of state sovereignty, through cyber activi- ties of a state or attributable to it, entails the international responsibility of the acting state.","Position Paper of the Republic of Austria: Cyber Activities and International Law. pg. 4 § 3, ¶2 (2024)",,,
AUT,4. Does the State indicate how to identify a violation of any stand-alone sovereignty rule?,Yes,"A cyber activity violates the sovereignty of another state when it violates a state’s territorial integrity, as well as when it constitutes an interference with or usurpation of an inherently governmental function of a state. Cyber activities that result in physical damage or injury certainly constitute a violation of state sovereignty. Other – only limited – intrusions leading to, e.g. the temporary loss of functionality of critical infrastructure within a state or a cyber activity that temporarily prevents access to essential governmental services, may also constitute a violation of sovereignty. Similarly, cyber espionage activities, including industrial cyber espionage against corporations, within a state’s territory may also violate the state’s sovereignty.","Position Paper of the Republic of Austria: Cyber Activities and International Law. pg. 4 § 3, ¶3 (2024)",,,
AUT,4(a) Is there a de minimis threshold below which a violation of sovereignty would not occur?,Silent,,,,,
AUT,"5. Is it a violation of territorial sovereignty for an organ of a State, or others whose conduct is attributable to the State, to conduct non-consensual cyber operations while physically present on another State’s territory against that State or entities or persons on its territory?",Silent,,,,,
AUT,6. Can state cyber operations that cause physical effects in another state’s territory constitute a violation of sovereignty as a rule?,Yes,…Cyber activities that result in physical damage or injury certainly constitute a violation of state sovereignty.,"Position Paper of the Republic of Austria: Cyber Activities and International Law. pg. 4 § 3, ¶3 (2024)",,,
AUT,6(a) Do any physical effects constitute a violation?,Ambiguous,"Cyber activities that result in physical damage or injury certainly constitute a violation of state sovereignty. Other – only limited – intrusions leading to, e.g. the temporary loss of functionality of critical infrastructure within a state or a cyber activity that temporarily prevents access to essential governmental services, may also constitute a violation of sovereignty. Similarly, cyber espionage activities, including industrial cyber espionage against corporations, within a state’s territory may also violate the state’s sovereignty. ","Position Paper of the Republic of Austria: Cyber Activities and International Law. pg. 4-5 § 3, ¶¶3-4 (2024)","Several examples of physical effects are presented as violations of sovereignty, whereas the mere traversing of data packages without a negative effect is contrasted as a non-violation. It is ambiguous whether certain physical effects may not negatively affect the functioning of ICT infrastructure.",,
AUT,"6(b) Must the effects involve physical damage to computer infrastructure or other tangible things, or injury to persons, to constitute a violation of sovereignty as a rule?",No,"Cyber activities that result in physical damage or injury certainly constitute a violation of state sovereignty. Other – only limited – intrusions leading to, e.g. the temporary loss of functionality of critical infrastructure within a state or a cyber activity that temporarily prevents access to essential governmental services, may also constitute a violation of sovereignty. Similarly, cyber espionage activities, including industrial cyber espionage against corporations, within a state’s territory may also violate the state’s sovereignty.","Position Paper of the Republic of Austria: Cyber Activities and International Law. pg. 4-5 § 3, ¶ 4 (2024)",,,
AUT,6(b)(i) Must the effect of a cyber operation to computer infrastructure require repair or replacement of physical components to qualify as damage?,Silent,,,"No mention of repair or replacement of physical components.¶No definition of damage; only terms of art, such as “substantial material damage” in terms of self-defense.",,
AUT,6(c) Do only cyber operations generating significant physical effects within another State’s territory constitute a violation?,No,"Cyber activities that result in physical damage or injury certainly constitute a violation of state sovereignty. Other – only limited – intrusions leading to, e.g. the temporary loss of functionality of critical infrastructure within a state or a cyber activity that temporarily prevents access to essential governmental services, may also constitute a violation of sovereignty. Similarly, cyber espionage activities, including industrial cyber espionage against corporations, within a state’s territory may also violate the state’s sovereignty.","Position Paper of the Republic of Austria: Cyber Activities and International Law. pg. 5 § 3, ¶ 5 (2024)","Physical damage is not qualified or quantified in terms of sovereignty violations.¶Moreover, limited intrusions, cyber espionage, and other cyber operations do not necessarily entail any physical damage.",,
AUT,7. Can state cyber operations that cause a loss to computer functionality in another State’s territory constitute a violation of sovereignty as a rule?,Yes,"Other – only limited – intrusions leading to, e.g. the temporary loss of functionality of critical infrastructure within a state or a cyber activity that temporarily prevents access to essential governmental services, may also constitute a violation of sovereignty.","Position Paper of the Republic of Austria: Cyber Activities and International Law. pg. 5 § 3, ¶ 5 (2024))",May does not equal will.,,
AUT,7(a) Is the rule violated by a cyber operation generating any functionality losses within another state’s territory?,Ambiguous,"Other – only limited – intrusions leading to, e.g. the temporary loss of functionality of critical infrastructure within a state or a cyber activity that temporarily prevents access to essential governmental services, may also constitute a violation of sovereignty.","Position Paper of the Republic of Austria: Cyber Activities and International Law. pg. 5 § 3, ¶ 5 (2024)","Sovereignty may be violated by limited intrusions that lead to temporary losses of functionality. The criteria for assessing whether such loss of functionality is a violation, however, are not addressed.",,
AUT,7(b) Is the rule violated by a cyber operation generating significant functionality losses within another state’s territory?,Ambiguous,"Other – only limited – intrusions leading to, e.g. the temporary loss of functionality of critical infrastructure within a state or a cyber activity that temporarily prevents access to essential governmental services, may also constitute a violation of sovereignty.¶¶Example: State A initiates a cyber espionage activity against the Foreign Ministry of state B for the purpose of obtaining illegal access to the internal communication and information system. When state B discovers that its system is compromised, it is required to conduct a total shutdown of the system and temporarily establish an alternative while the IT system is cleaned and restored. Such a cyber activity would constitute a violation of state B’s sovereignty.","Position Paper of the Republic of Austria: Cyber Activities and International Law. pg. 5 § 3, ¶ 5 (2024)",The criteria for assessing whether any loss of functionality is a violation are not addressed.¶The example offered suggests that a system shutdown necessitated by cyber espionage activity is a violation of sovereignty.,,
AUT,7(c) Is the rule violated by a cyber operation generating systemic functionality losses within another state’s territory?,Ambiguous,"Other – only limited – intrusions leading to, e.g. the temporary loss of functionality of critical infrastructure within a state or a cyber activity that temporarily prevents access to essential governmental services, may also constitute a violation of sovereignty.","Position Paper of the Republic of Austria: Cyber Activities and International Law. pg. 5 § 3, ¶ 5 (2024)",The criteria for assessing whether any loss of functionality is a violation are not clear.¶The example offered (in the row above) suggests that a system shutdown necessitated by cyber espionage activity is a violation of sovereignty.,,
AUT,8. Can state cyber operations that interfere with another state’s “inherent governmental functions” constitute a violation of sovereignty as a rule?,Yes,"A cyber activity violates the sovereignty of another state when it violates a state’s territorial integrity, as well as when it constitutes an interference with or usurpation of an inherently governmental function of a state.","Position Paper of the Republic of Austria: Cyber Activities and International Law. pg. 4 § 3, ¶ 4 (2024)",,,
AUT,9. Must there be proximate causation between the state cyber operation and the effects or interference prohibited by sovereignty as a rule?  ,Silent,,,,,
AUT,9(a) Must the state cyber operation generate prohibited effects directly?,Silent,,,,,
AUT,9(b) Do prohibited effects indirectly generated by a state cyber operation constitute a violation of sovereignty as a rule?,Silent,,,,,
AUT,10. Can state cyber operations that deny access to or degrade data in the control of another State constitute a violation of sovereignty as a rule?,Yes,"... a cyber activity that causes the destruction of governmental data in the data embassy of state A in the territory of state B, may be considered a violation of sovereignty of both state A and state B.","Position Paper of the Republic of Austria: Cyber Activities and International Law. pg. 16 § 11, ¶ 1 (2024)",,,
AUT,10(a) Do state sponsored ransomware operations violate the sovereignty of another State?,Silent,,,,,
