ISO,Question,Answer,Citation,Pincite ,Comment,
AUS,4. Is coercion a constituent element of prohibited intervention?, Yes,"“A prohibited intervention is one that interferes by coercive means, either directly or indirectly, in matters that a State is permitted by the principle of State sovereignty to decide freely.” ","Australia, Annex B: Australia’s position on how international law applies to State conduct in cyberspace, pg. 6, §1, ¶ 9 (2020).

Australia, UNGA Official Compendium of Voluntary National Contributions, pg. 5, §1, ¶8 (2021).", ,
AUS,4.1 Is coercion limited to the employment of physical force? ,No,"“Coercive means are those that effectively deprive the State of the ability to control, decide upon or govern matters of an inherently sovereign nature. Accordingly, the use by a hostile State of cyber activities to manipulate the electoral system to alter the results of an election in another State, intervention in the fundamental operation of Parliament, or in the stability of States' financial systems would constitute a violation of the principle of non-intervention.” ","Australia, Annex B: Australia’s position on how international law applies to State conduct in cyberspace, pg. 6, §1, ¶ 9 (2020).

Australia, UNGA Official Compendium of Voluntary National Contributions, pg. 5, §1, ¶8 (2021).",No by inference,
AUS,4.2 Can dictatorial demands or acts of compulsion or imposition constitute coercion?     ,Silent,,,,
AUS, 4.3 Does the deprivation of a State’s ability to control matters within its domaine réservé amount to coercion?,Yes,"“Coercive means are those that effectively deprive the State of the ability to control, decide upon or govern matters of an inherently sovereign nature. Accordingly, the use by a hostile State of cyber activities to manipulate the electoral system to alter the results of an election in another State, intervention in the fundamental operation of Parliament, or in the stability of States' financial systems would constitute a violation of the principle of non-intervention.” ","Australia, Annex B: Australia’s position on how international law applies to State conduct in cyberspace, pg. 6, §1, ¶ 9 (2020).

Australia, UNGA Official Compendium of Voluntary National Contributions, pg. 5, §1, ¶8 (2021)."," Although the specific language of “domaine réservé” is not used in the national statement, the same can be inferred.",
AUS,4.4 Does coercion extend to any affirmative acts designed to deprive another state of its freedom of choice with regard to a matter of protected sovereign prerogative?,Yes,"“Coercive means are those that effectively deprive the State of the ability to control, decide upon or govern matters of an inherently sovereign nature. Accordingly, the use by a hostile State of cyber activities to manipulate the electoral system to alter the results of an election in another State, intervention in the fundamental operation of Parliament, or in the stability of States' financial systems would constitute a violation of the principle of non-intervention.” ","Australia, Annex B: Australia’s position on how international law applies to State conduct in cyberspace, pg. 6, §1, ¶ 9 (2020).

Australia, UNGA Official Compendium of Voluntary National Contributions, pg. 5, §1, ¶8 (2021).","  Although the specific language of “affirmative acts” is not used in the national statement, the same can be inferred from the word “means.”",
AUS,4.5 Must there be a causal nexus between the responsible state’s actions/efforts and the effects on the target state’s internal or external affairs? ,Silent," 
 ",,,
AUS,4.6  Can attempts to coerce an outcome amount to prohibited intervention?      ,Yes," A prohibited intervention is one that interferes by coercive means, either directly or indirectly, in matters that a State is permitted by the principle of State sovereignty to decide freely. Such matters include a State’s economic, political, social and cultural systems and foreign policy. Coercive means are those that effectively deprive or are intended to deprive the State of the ability to control, decide upon or govern matters of an inherently sovereign nature.","Australia, Annex B: Australia’s position on how international law applies to State conduct in cyberspace, pg. 6, §1, ¶ 9 (2020).

Australia, UNGA Official Compendium of Voluntary National Contributions, pg. 5, §1, ¶8 (2021).",,
AUS,4.7 Is intent a constituent element of coercion?    , Ambiguous," A prohibited intervention is one that interferes by coercive means, either directly or indirectly, in matters that a State is permitted by the principle of State sovereignty to decide freely. Such matters include a State’s economic, political, social and cultural systems and foreign policy. Coercive means are those that effectively deprive or are intended to deprive the State of the ability to control, decide upon or govern matters of an inherently sovereign nature.","Australia, Annex B: Australia’s position on how international law applies to State conduct in cyberspace, pg. 6, §1, ¶ 9 (2020).

Australia, UNGA Official Compendium of Voluntary National Contributions, pg. 5, §1, ¶8 (2021).",,
AUS,"4.8 Must the action(s) constituting coercion be designed/intended to influence outcomes in, or conduct with respect to, a matter of protected sovereign prerogative?      ",Ambiguous,"Coercive means are those that effectively deprive or are intended to deprive the State of the ability to control, decide upon or govern matters of an inherently sovereign nature. Accordingly, the use by a State of cyber activities to prevent another State from holding an election, or manipulate the electoral system to alter the results of an election in another State, intervene in the fundamental operation of Parliament, or significantly disrupt the functioning of a States’ financial systems would constitute a violation of the principle of non-intervention.","Australia, Annex B: Australia’s position on how international law applies to State conduct in cyberspace, pg. 6, §1, ¶ 9 (2020).

Australia, UNGA Official Compendium of Voluntary National Contributions, pg. 5, §1, ¶8 (2021).",,
AUS,4.9  Can coercion be indirect?    ,Yes,"A prohibited intervention is one that interferes by coercive means, either directly or indirectly, in matters that a State is permitted by the principle of State sovereignty to decide freely. ","Australia, Annex B: Australia’s position on how international law applies to State conduct in cyberspace, pg. 6, §1, ¶ 9 (2020).

Australia, UNGA Official Compendium of Voluntary National Contributions, pg. 5, §1, ¶8 (2021).", ,
AUS, 4.10 Must the target state have knowledge of the coercive cyber operation constituting the purported intervention? ,Silent,,,,
AUS,5. Does intervention include forms of persuasion or propaganda?   ,Silent,,,,
AUS,6. Is there a de minimis exception to the prohibition?  ,Silent,,,,
AUS,"7. Must the intervention be directed at matters over which the victim state is permitted by the principle of sovereignty, to decide freely? ",Yes,"A prohibited intervention is one that interferes by coercive means, either directly or indirectly, in matters that a State is permitted by the principle of State sovereignty to decide freely.","Australia, Annex B: Australia’s position on how international law applies to State conduct in cyberspace, pg. 6, §1, ¶ 9 (2020).

Australia, UNGA Official Compendium of Voluntary National Contributions, pg. 5, §1, ¶8 (2021).",,
AUS,7.1 Does the zone of protected sovereign prerogatives include only internal affairs? ,No,"A prohibited intervention is one that interferes by coercive means, either directly or indirectly, in matters that a State is permitted by the principle of State sovereignty to decide freely.  Such matters include a State’s economic, political, social and cultural systems and foreign policy.","Australia, Annex B: Australia’s position on how international law applies to State conduct in cyberspace, pg. 6, §1, ¶ 9 (2020).

Australia, UNGA Official Compendium of Voluntary National Contributions, pg. 5, §1, ¶8 (2021).","There is no limiter in the quote.
It includes foreign policy as well, hence it is not limited to internal affairs. ",
AUS,7.2 Does the prohibition proscribe intervention in a state’s external (foreign) affairs? ,Yes,"“Harmful conduct in cyberspace that does not constitute a use of force may constitute a breach of the duty not to intervene in the internal or external affairs of another State.”

“A prohibited intervention is one that interferes by coercive means, either directly or indirectly, in matters that a State is permitted by the principle of State sovereignty to decide freely. Such matters include a State’s economic, political, social and cultural systems and foreign policy.”","Australia, Annex B: Australia’s position on how international law applies to State conduct in cyberspace, pg. 6, §1, ¶ 8-9 (2020).

Australia, UNGA Official Compendium of Voluntary National Contributions, pg. 5, §1, ¶8 (2021).",,
AUS,Is the zone of protected sovereign prerogatives referred to as domaine réservé? ,No,"A prohibited intervention is one that interferes by coercive means, either directly or indirectly, in matters that a State is permitted by the principle of State sovereignty to decide freely. Such matters include a State's economic, political, social systems and foreign policy. Coercive means are those that effectively deprive the State of the ability to control, decide upon or govern matters of an inherently sovereign nature.","Australia, Annex B: Australia’s position on how international law applies to State conduct in cyberspace, pg. 6, §1, ¶ 9 (2020).

Australia, UNGA Official Compendium of Voluntary National Contributions, pg. 5, §1, ¶8 (2021).",,
AUS,"7.4 Is the domaine réservé limited to matters involving the state’s choice of a political, economic, social, and cultural system, and the formulation of foreign policy? ",Silent,,,,
AUS, 7.5 Does international law regulation over a matter of sovereign prerogative remove it from the domaine réservé?  ,Silent,,,,
AUS,7.6 Is critical infrastructure part of the domaine réservé?  ,Ambiguous,"A prohibited intervention is one that interferes by coercive means, either directly or indirectly, in matters that a State is permitted by the principle of State sovereignty to decide freely. Such matters include a State's economic, political, social systems and foreign policy.","Australia, Annex B: Australia’s position on how international law applies to State conduct in cyberspace, pg. 6, §1, ¶ 9 (2020).

Australia, UNGA Official Compendium of Voluntary National Contributions, pg. 5, §1, ¶8 (2021).",,
AUS,7.7 Are elections part of the domaine réservé? ,Yes,"Accordingly, the use by a hostile State of cyber activities to manipulate the electoral system to alter the results of an election in another State, intervention in the fundamental operation of Parliament, or in the stability of States' financial systems would constitute a violation of the principle of non-intervention.","Australia, Annex B: Australia’s position on how international law applies to State conduct in cyberspace, pg. 6, §1, ¶ 9 (2020).

Australia, UNGA Official Compendium of Voluntary National Contributions, pg. 5, §1, ¶8 (2021).",,
AUS,7.8 Is the operation of legislatures a part of the domaine réservé?,Yes,"Accordingly, the use by a hostile State of cyber activities to manipulate the electoral system to alter the results of an election in another State, intervention in the fundamental operation of Parliament, or in the stability of States' financial systems would constitute a violation of the principle of non-intervention.","Australia, Annex B: Australia’s position on how international law applies to State conduct in cyberspace, pg. 6, §1, ¶ 9 (2020).

Australia, UNGA Official Compendium of Voluntary National Contributions, pg. 5, §1, ¶8 (2021).",,
AUS, 7.9 Is financial system stability part of the domaine réservé?  ,Yes,"Accordingly, the use by a hostile State of cyber activities to manipulate the electoral system to alter the results of an election in another State, intervention in the fundamental operation of Parliament, or in the stability of States' financial systems would constitute a violation of the principle of non-intervention.","Australia, Annex B: Australia’s position on how international law applies to State conduct in cyberspace, pg. 6, §1, ¶ 9 (2020).

Australia, UNGA Official Compendium of Voluntary National Contributions, pg. 5, §1, ¶8 (2021).",,
AUS,7.10 Are medical services part of the domaine réservé?  ,"
Silent",,,,
AUT,1. Is the prohibition of non-intervention a norm of customary international law? , Yes, “The customary international law rule of non-intervention prohibits the coercive interference in the internal or external affairs (‘domaine réservé’) of another state.” ,"Position Paper of the Republic of Austria: Cyber Activities and International Law, pg. 5, §4, ¶1 (2024).",,
AUT,2. Is the scope of the principle of non-intervention uncertain?    ,Silent,,,,
AUT,3. Does the prohibition of non-intervention apply to cyber-operations? ,Yes,""" The customary international law rule prohibiting intervention, i.e. coercive interference, by one state in the internal or external affairs of another state also applies to cyber activities.”","Position Paper of the Republic of Austria: Cyber Activities and International Law, pg. 5, §4, (2024).
", ,
AUT,4. Is coercion a constituent element of prohibited intervention?, Yes,""" The customary international law rule prohibiting intervention, i.e. coercive interference, by one state in the internal or external affairs of another state also applies to cyber activities”
"" Coercion occurs when a state seeks to compel another state to change its behaviour with respect to its internal or external affairs.”
The customary international law rule of non-intervention prohibits the coercive interference in the internal or external affairs (‘domaine réservé’) of another state.","Position Paper of the Republic of Austria: Cyber Activities and International Law, pg. 5, §4 (2024).", ,
AUT,4.1 Is coercion limited to the employment of physical force? ,No,"“Coercion is most evident in an intervention using force. However, also non-forcible forms of interference can be coercive.”","Position Paper of the Republic of Austria: Cyber Activities and International Law,pg. 5, §4, ¶3 (2024).", ,
AUT,4.2 Can dictatorial demands or acts of compulsion or imposition constitute coercion?     ,Yes,Coercion occurs when a state seeks to compel another state to change its behaviour... i.e. to force that state to act in an involuntary manner or involuntarily refrain from acting in a particular way.,"Position Paper of the Republic of Austria: Cyber Activities and International Law, pg. 5, §4, ¶3 (2024).", ,
AUT, 4.3 Does the deprivation of a State’s ability to control matters within its domaine réservé amount to coercion?,Ambiguous,“Coercion occurs when a state seeks to compel another state to change its behaviour with respect to its internal or external affairs”,"Position Paper of the Republic of Austria: Cyber Activities and International Law, pg. 5, §4, ¶3 (2024).","It is ambiguous because on one hand the national statement is silent on the ‘State’s ability to control matters within its domaine réservé,’ but on the other hand it clearly mentions that the assessments would be made on a case- by-case basis.",
AUT, 4.4 Does coercion extend to any affirmative acts designed to deprive another state of its freedom of choice with regard to a matter of protected sovereign prerogative?,Yes,""" Coercion occurs when a state seeks to compel another state to change its behaviour with respect to its internal or external affairs, i.e. to force that state to act in an involuntary manner or involuntarily refrain from acting in a particular way.”","Position Paper of the Republic of Austria: Cyber Activities and International Law, pg. 5, §4, ¶3 (2024).", ,
AUT,4.5 Must there be a causal nexus between the responsible state’s actions/efforts and the effects on the target state’s internal or external affairs? ,Silent,,,,
AUT,4.6 Can attempts to coerce an outcome amount to prohibited intervention?      ,Yes," Coercion occurs when a state seeks to compel another state to change its behaviour with respect to its internal or external affairs, i.e. to force that state to act in an involuntary manner or involuntarily  refrain  from  acting  in  a  particular  way...
For instance, a cyber activity that interferes with a state’s ability to hold elections or which manipulates election results could, if undertaken to compel a state to involuntarily  change  a  government  policy,  constitute  a  violation  of  the  prohibition  of intervention.","Position Paper of the Republic of Austria: Cyber Activities and International Law, pg. 5, §4, ¶3 (2024).", ,
AUT,4.7 Is intent a constituent element of coercion?    , Ambiguous,"Coercion occurs when a state seeks to compel another state to change its behaviour with respect to its internal or external affairs, i.e. to force that state to act in an involuntary manner or  involuntarily  refrain  from  acting  in  a  particular  way...
For instance, a cyber activity that interferes with a state’s ability to hold elections or which manipulates election results could, if undertaken to compel a state to involuntarily  change  a  government  policy,  constitute  a  violation  of  the  prohibition  of intervention.","Position Paper of the Republic of Austria: Cyber Activities and International Law, pg. 5, §4, ¶3 (2024).",DBH Cmt: Could be “yes” as  “seeks to compel” suggests an intentional set of behavior ...,
AUT,"4.8 Must the action(s) constituting coercion be designed/intended to influence outcomes in, or conduct with respect to, a matter of protected sovereign prerogative?      ",Yes,"Coercion occurs when a state seeks to compel another state to change its behaviour with respect to its internal or external affairs, i.e. to force that state to act in an involuntary manner or involuntarily refrain  from  acting in a  particular way...
For instance, a cyber activity that interferes with a state’s ability to hold elections or which manipulates election results could, if undertaken to compel a state to involuntarily change  a  government policy, constitute  a  violation  of  the  prohibition  of intervention.","Position Paper of the Republic of Austria: Cyber Activities and International Law, pg. 5, §4, ¶3 (2024).", ,
AUT, 4.9   Can coercion be indirect?    ,Silent ,,," 
",
AUT, 4.10 Must the target state have knowledge of the coercive cyber operation constituting the purported intervention? ,Silent,,,,
AUT,5. Does intervention include forms of persuasion or propaganda?   ,Yes,"“For instance, a cyber activity that interferes with a state’s ability to hold elections or which manipulates election results could, if undertaken to compel a state to involuntarily  change  a  government  policy,  constitute  a  violation  of  the  prohibition  of intervention. Large-scale cyber activities, including disinformation campaigns, conducted by or attributable to a state may also constitute... a violation of the prohibition of intervention.” ","Position Paper of the Republic of Austria: Cyber Activities and International Law, pg. 5, §4, ¶3 (2024).",,
AUT,6. Is there a de minimis exception to the prohibition?  ,Silent,,,,
AUT,"7. Must the intervention be directed at matters over which the victim state is permitted by the principle of sovereignty, to decide freely? ",Yes,"The customary international law rule of non-intervention prohibits the coercive interference
in the internal or external affairs (“domaine réservé”) of another state. It was affirmed in
various declarations of the UNGA, including the Friendly Relations Declaration. As was held by the International Court of Justice (ICJ) in the Nicaragua case, the internal or external affairs of a state include matters in which each state is to decide freely, such as its “choice of a political, economic, social and cultural system, and the formulation of foreign policy.”","Position Paper of the Republic of Austria: Cyber Activities and International Law, pg. 5, §4, ¶2-3 (2024).",,
AUT,7.1 Does the zone of protected sovereign prerogatives include only internal affairs? ,No,"“As was held by the International Court of Justice (ICJ) in the Nicaragua case, the internal or external affairs of a state include matters in which each state is to decide freely, such as its choice of a political, economic, social and cultural system, and the formulation of foreign policy.”","Position Paper of the Republic of Austria: Cyber Activities and International Law, pg. 5, §4, ¶2 (2024).",,
AUT,7.2 Does the prohibition proscribe intervention in a state’s external (foreign) affairs? ,Yes,"“As was held by the International Court of Justice (ICJ) in the Nicaragua case, the internal or external affairs of a state include matters in which each state is to decide freely, such as its choice of a political, economic, social and cultural system, and the formulation of foreign policy.”","Position Paper of the Republic of Austria: Cyber Activities and International Law, pg. 5, §4, ¶2 (2024).",,
AUT,7.3 Is the zone of protected sovereign prerogatives referred to as domaine réservé? ,Yes,The customary international law rule of non-intervention prohibits the coercive interference in the internal or external affairs (“domaine réservé”) of another state.”,"Position Paper of the Republic of Austria: Cyber Activities and International Law, pg. 5, §4, ¶1 (2024).",,
AUT,"7.4 Is the domaine réservé limited to matters involving the state’s choice of a political, economic, social, and cultural system, and the formulation of foreign policy? ","Ambiguous
","The internal or external affairs of a state include matters in which each state is to decide freely, such as its “choice of a political, economic, social and cultural system, and the formulation of foreign policy.”","Position Paper of the Republic of Austria: Cyber Activities and International Law, pg. 5, §4, ¶2 (2024).","DBH Cmt – the “such as” makes the list seem representative not exclusive so I’m ambiguous at best or maybe “no”?
The words “such as” indicate that the list is not exhaustive. There could be more.",
AUT, 7.5 Does international law regulation over a matter of sovereign prerogative remove it from the domaine réservé?  ,Silent,,,,
AUT,7.6 Is critical infrastructure part of the domaine réservé?  ,Silent,,,,
AUT,7.7 Are elections part of the domaine réservé? ,Yes,"For instance, a cyber activity that interferes with a state’s ability to hold elections or which manipulates election results could, if undertaken to compel a state to involuntarily  change  a  government  policy,  constitute  a  violation  of  the  prohibition  of intervention.","2024 Austria position paper.pdf, pg. 5, §4, ¶3 (2024).",,
AUT, 7.8 Is the operation of legislatures a part of the domaine réservé?,Silent,,,,
AUT, 7.9 Is financial system stability part of the domaine réservé?  ,Silent,,,,
AUT,7.10 Are medical services part of the domaine réservé?  ,Silent,,,,
BOL,1. Is the prohibition of non-intervention a norm of customary international law? , Silent, ,,,
BOL,2. Is the scope of the principle of non-intervention uncertain?    ,Silent, ,,,
BOL,3. Does the prohibition of non-intervention apply to cyber-operations? ,Silent, ,,,
BOL,4. Is coercion a constituent element of prohibited intervention?, Silent, ,,,
BOL,4.1 Is coercion limited to the employment of physical force? ,Silent,,,,
BOL,4.2 Can dictatorial demands or acts of compulsion or imposition constitute coercion?     ,Silent,,,,
BOL, 4.3 Does the deprivation of a State’s ability to control matters within its domaine réservé amount to coercion?,Silent,,,,
BOL, 4.4 Does coercion extend to any affirmative acts designed to deprive another state of its freedom of choice with regard to a matter of protected sovereign prerogative?,Silent, ,,,
BOL,4.5 Must there be a causal nexus between the responsible state’s actions/efforts and the effects on the target state’s internal or external affairs? ,Silent," 
 ",,,
BOL,4.6 Can attempts to coerce an outcome amount to prohibited intervention?      ,Silent, ,,,
BOL,4.7 Is intent a constituent element of coercion?    ,  Silent,,,,
BOL,"4.8 Must the action(s) constituting coercion be designed/intended to influence outcomes in, or conduct with respect to, a matter of protected sovereign prerogative?      ",Silent, ,,,
BOL,4.9  Can coercion be indirect?    ,Silent, ,,,
BOL, 4.10 Must the target state have knowledge of the coercive cyber operation constituting the purported intervention? ,Silent,,,,
BOL,5. Does intervention include forms of persuasion or propaganda?   ,Silent,,,,
BOL,6. Is there a de minimis exception to the prohibition?  ,Silent,,,,
BOL,"7. Must the intervention be directed at matters over which the victim state is permitted by the principle of sovereignty, to decide freely? ",Silent,,,,
BOL,7.1 Does the zone of protected sovereign prerogatives include only internal affairs? ,Silent,,,,
BOL,7.2 Does the prohibition proscribe intervention in a state’s external (foreign) affairs? ,Silent,,,,
BOL,7.3 Is the zone of protected sovereign prerogatives referred to as domaine réservé? ,Silent,,,,
BOL,"7.4 Is the domaine réservé limited to matters involving the state’s choice of a political, economic, social, and cultural system, and the formulation of foreign policy? ",Silent,,,,
BOL, 7.5 Does international law regulation over a matter of sovereign prerogative remove it from the domaine réservé?  ,Silent,,,,
BOL,7.6 Is critical infrastructure part of the domaine réservé?  ,Silent,,,,
BOL,7.7 Are elections part of the domaine réservé? ,Silent,,,,
BOL, 7.8 Is the operation of legislatures a part of the domaine réservé?,Silent,,,,
BOL, 7.9 Is financial system stability part of the domaine réservé?  ,Silent,,,,
BOL,7.10 Are medical services part of the domaine réservé?  ,Silent,,,,
